dx_id,kk,ss,bb,pp,log10(period)
0,3,1,523697,2147483647,28.0
1,3,1,523703,2147483647,28.0
2,3,1,523732,2147483647,28.0
3,3,1,523736,2147483647,28.0
4,3,1,523778,2147483647,28.0
5,3,1,523780,2147483647,28.0
6,3,1,523793,2147483647,28.0
7,3,1,523794,2147483647,28.0
8,3,1,523803,2147483647,28.0
9,3,1,523806,2147483647,28.0
10,3,1,523814,2147483647,28.0
11,3,1,523825,2147483647,28.0
12,3,1,523830,2147483647,28.0
13,3,1,523852,2147483647,28.0
14,3,1,523854,2147483647,28.0
15,3,1,523856,2147483647,28.0
16,3,1,523876,2147483647,28.0
17,3,1,523906,2147483647,28.0
18,3,1,523918,2147483647,28.0
19,3,1,523921,2147483647,28.0
20,3,1,523922,2147483647,28.0
21,3,1,523962,2147483647,28.0
22,3,1,523967,2147483647,28.0
23,3,1,523994,2147483647,28.0
24,3,1,524002,2147483647,28.0
25,3,1,524017,2147483647,28.0
26,3,1,524026,2147483647,28.0
27,3,1,524028,2147483647,28.0
28,3,1,524032,2147483647,28.0
29,3,1,524038,2147483647,28.0
30,3,1,524040,2147483647,28.0
31,3,1,524042,2147483647,28.0
32,3,1,524046,2147483647,28.0
33,3,1,524055,2147483647,28.0
34,3,1,524061,2147483647,28.0
35,3,1,524064,2147483647,28.0
36,3,1,524095,2147483647,28.0
37,3,1,524103,2147483647,28.0
38,3,1,524114,2147483647,28.0
39,3,1,524121,2147483647,28.0
40,3,1,524124,2147483647,28.0
41,3,1,524146,2147483647,28.0
42,3,1,524150,2147483647,28.0
43,3,1,524154,2147483647,28.0
44,3,1,524169,2147483647,28.0
45,3,1,524172,2147483647,28.0
46,3,1,524177,2147483647,28.0
47,3,1,524201,2147483647,28.0
48,3,1,524251,2147483647,28.0
49,3,1,524254,2147483647,28.0
50,3,1,524256,2147483647,28.0
51,3,1,524270,2147483647,28.0
52,3,1,1047984,2147483647,28.0
53,3,1,1047994,2147483647,28.0
54,3,1,1047996,2147483647,28.0
55,3,1,1047999,2147483647,28.0
56,3,1,1048021,2147483647,28.0
57,3,1,1048027,2147483647,28.0
58,3,1,1048031,2147483647,28.0
59,3,1,1048034,2147483647,28.0
60,3,1,1048046,2147483647,28.0
61,3,1,1048052,2147483647,28.0
62,3,1,1048054,2147483647,28.0
63,3,1,1048061,2147483647,28.0
64,3,1,1048080,2147483647,28.0
65,3,1,1048090,2147483647,28.0
66,3,1,1048093,2147483647,28.0
67,3,1,1048096,2147483647,28.0
68,3,1,1048097,2147483647,28.0
69,3,1,1048115,2147483647,28.0
70,3,1,1048121,2147483647,28.0
71,3,1,1048122,2147483647,28.0
72,3,1,1048128,2147483647,28.0
73,3,1,1048130,2147483647,28.0
74,3,1,1048153,2147483647,28.0
75,3,1,1048159,2147483647,28.0
76,3,1,1048190,2147483647,28.0
77,3,1,1048195,2147483647,28.0
78,3,1,1048205,2147483647,28.0
79,3,1,1048206,2147483647,28.0
80,3,1,1048207,2147483647,28.0
81,3,1,1048212,2147483647,28.0
82,3,1,1048228,2147483647,28.0
83,3,1,1048229,2147483647,28.0
84,3,1,1048237,2147483647,28.0
85,3,1,1048241,2147483647,28.0
86,3,1,1048269,2147483647,28.0
87,3,1,1048295,2147483647,28.0
88,3,1,1048300,2147483647,28.0
89,3,1,1048305,2147483647,28.0
90,3,1,1048312,2147483647,28.0
91,3,1,1048333,2147483647,28.0
92,3,1,1048338,2147483647,28.0
93,3,1,1048353,2147483647,28.0
94,3,1,1048354,2147483647,28.0
95,3,1,1048366,2147483647,28.0
96,3,1,1048389,2147483647,28.0
97,3,1,1048440,2147483647,28.0
98,3,1,1048447,2147483647,28.0
99,3,1,1048453,2147483647,28.0
100,3,1,1048458,2147483647,28.0
101,3,1,1048469,2147483647,28.0
102,3,1,1048483,2147483647,28.0
103,3,1,1048495,2147483647,28.0
104,3,1,1048514,2147483647,28.0
105,3,1,1048530,2147483647,28.0
106,3,1,1048536,2147483647,28.0
107,3,1,1048540,2147483647,28.0
108,3,1,1048572,2147483647,28.0
109,3,2,523392,2147483647,28.0
110,3,2,523401,2147483647,28.0
111,3,2,523403,2147483647,28.0
112,3,2,523407,2147483647,28.0
113,3,2,523426,2147483647,28.0
114,3,2,523427,2147483647,28.0
115,3,2,523428,2147483647,28.0
116,3,2,523439,2147483647,28.0
117,3,2,523448,2147483647,28.0
118,3,2,523452,2147483647,28.0
119,3,2,523459,2147483647,28.0
120,3,2,523467,2147483647,28.0
121,3,2,523472,2147483647,28.0
122,3,2,523494,2147483647,28.0
123,3,2,523495,2147483647,28.0
124,3,2,523502,2147483647,28.0
125,3,2,523508,2147483647,28.0
126,3,2,523513,2147483647,28.0
127,3,2,523519,2147483647,28.0
128,3,2,523520,2147483647,28.0
129,3,2,523524,2147483647,28.0
130,3,2,523525,2147483647,28.0
131,3,2,523558,2147483647,28.0
132,3,2,523559,2147483647,28.0
133,3,2,523563,2147483647,28.0
134,3,2,523572,2147483647,28.0
135,3,2,523589,2147483647,28.0
136,3,2,523597,2147483647,28.0
137,3,2,523601,2147483647,28.0
138,3,2,523626,2147483647,28.0
139,3,2,523638,2147483647,28.0
140,3,2,523649,2147483647,28.0
141,3,2,523667,2147483647,28.0
142,3,2,523677,2147483647,28.0
143,3,2,523686,2147483647,28.0
144,3,2,523687,2147483647,28.0
145,3,2,523697,2147483647,28.0
146,3,2,523703,2147483647,28.0
